departamento,positivos_hoy,positivos_totales
Amazonas,2,7833
Antioquia,782,945314
Arauca,7,17054
Archipiélago de San Andrés Providencia y Santa Catalina,0,10338
Atlántico,33,140651
Barranquilla D.E.,170,276766
Bogotá D.C.,2078,1859626
Bolívar,10,40144
Boyacá,67,129445
Caldas,24,119384
Caquetá,5,25599
Cartagena D.T. y C.,45,163005
Casanare,22,42905
Cauca,30,76245
Cesar,37,109095
Chocó,5,18839
Cundinamarca,140,328135
Córdoba,93,122316
Guainía,0,2792
Guaviare,1,5659
Huila,12,103045
La Guajira,26,57983
Magdalena,7,33064
Meta,29,107461
Nariño,55,107774
Norte de Santander,124,124611
Putumayo,23,21821
Quindío,9,72728
Risaralda,37,109552
Santa Marta D.T. y C.,37,84579
Santander,444,294239
Sucre,41,67067
Tolima,23,126938
Valle del Cauca,917,565926
Vaupés,1,1955
Vichada,0,3469
