codigo_dane,departamento,tasa_incidencia,tasa_mortalidad
91,AMAZONAS,11736.04,5096.55
05,ANTIOQUIA,13616.36,2461.52
81,ARAUCA,6208.92,2553.06
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",15677.79,2301.28
08,ATLANTICO,15226.49,3799.94
11,"BOGOTÁ, D. C.",22783.7,3645.19
13,BOLIVAR,9499.7,1501.05
15,BOYACÁ,10386.75,1776.5
17,CALDAS,11148.38,1782.95
18,CAQUETÁ,6698.9,3051.3
85,CASANARE,9996.35,2960.92
19,CAUCA,5113.55,1100.12
20,CESAR,8934.24,2551.02
27,CHOCÓ,3879.64,993.7
25,CUNDINAMARCA,9852.9,2080.54
23,CÓRDOBA,6764.31,2007.9
94,GUAINÍA,6955.93,1272.44
95,GUAVIARE,7158.75,1631.68
41,HUILA,9407.9,3097.96
44,LA GUAJIRA,6952.58,2447.81
47,MAGDALENA,8580.18,2781.28
50,META,10070.56,2530.67
52,NARIÑO,6480.68,1794.89
54,NORTE DE SANTANDER,7730.79,3275.06
86,PUTUMAYO,6379.8,2595.72
63,QUINDÍO,12286.84,2540.21
66,RISARALDA,10894.37,1923.78
68,SANTANDER,12443.55,3157.39
70,SUCRE,7173.08,1708.67
73,TOLIMA,9299.93,2207.57
76,VALLE DEL CAUCA,12282.42,2736.42
97,VAUPÉS,6699.21,813.23
99,VICHADA,3800.59,1120.0
